$c0c0$,$c0c1$
-5.717325540897063,-10.04675343349482
-5.717260611522106,-10.04699205836756
-5.717625472446205,-10.046840071378222
-5.717622472911949,-10.046908148897948
-5.717157596781471,-10.046778842264226
-5.7176282889359085,-10.04667591265241
-5.717284071860516,-10.04685737330111
-5.7174833494102115,-10.046602811838026
-5.717507391031964,-10.046911234080044
-5.717358400716347,-10.047024504039795
-5.717387536398607,-10.047003529990926
-5.7174825567175995,-10.046792527869536
-5.717400233086414,-10.046910718936545
-5.7174595117558615,-10.04665738675887
-5.717597912430446,-10.046655882615116
-5.725537593207925,-10.047512071051973
-5.717344648336106,-10.046790584730935
-5.7175338025416895,-10.046642362168638
-5.717439263576706,-10.04697171902756
-5.717513256053076,-10.04675632863737
-5.717647178733413,-10.04681452011411
-5.717491633233027,-10.046780056512096
-5.7173369540298005,-10.04694535670852
-5.717612672392273,-10.046888591935884
-5.717234861156972,-10.046680720345885
-5.717742826098415,-10.04677109374638
-5.717417579971159,-10.046786061821289
-5.717367551086057,-10.04688325460471
-5.717690921644165,-10.047055311349236
-5.717519462012609,-10.046392628328205
-5.717503963806387,-10.046759848618397
-5.71749328926569,-10.046686940434409
-5.717576184262343,-10.046919678376476
-5.717570404508418,-10.04672845462498
-5.717446017996679,-10.046781796670404
-5.717572839538156,-10.046752220763889
-5.717444588728344,-10.046756003564836
-5.717412223127909,-10.046759587878771
-5.71749660218589,-10.0466337699852
-5.717443878956009,-10.046860220034972
-5.717309669259968,-10.046810001694327
-5.7173121231291315,-10.046784425486516
-5.7175092107332866,-10.04683411116431
-5.717499904884638,-10.046930685114418
-5.717485704219439,-10.04684796244018
-5.717424764375015,-10.046831124733696
-5.717224473934412,-10.046662117504258
-5.717682698226746,-10.04680611258278
-5.717570176685042,-10.046477953494536
-5.71742543453463,-10.045503617719
-5.717399616312003,-10.047020561855962
-5.717382480977287,-10.046723560027225
-5.717178671043724,-10.046681078371911
-5.717542540221133,-10.046716702384622
-5.717337370181066,-10.046722916833687
-5.717570154318369,-10.046827533875945
-5.717628485077285,-10.046930520197666
-5.717625414911711,-10.04678360976675
-5.717537256472005,-10.04684657532984
-5.717492835531169,-10.046863417704351
-5.717261655313343,-10.046794410498636
-5.717447551573435,-10.046934080170082
-5.7174948940044885,-10.04673107652602
-5.717530033007511,-10.046861577860208
